path,/dccstor/cmv/Animals/Animals_with_Attributes2/JPEGImages/
lion/lion_10251.jpg,lion
grizzly+bear/grizzly+bear_10416.jpg,grizzly+bear
cow/cow_10741.jpg,cow
collie/collie_10138.jpg,collie
chihuahua/chihuahua_10035.jpg,chihuahua
siamese+cat/siamese+cat_10307.jpg,siamese+cat
collie/collie_10794.jpg,collie
buffalo/buffalo_10496.jpg,buffalo
buffalo/buffalo_10586.jpg,buffalo
squirrel/squirrel_10388.jpg,squirrel
otter/otter_10673.jpg,otter
grizzly+bear/grizzly+bear_10656.jpg,grizzly+bear
siamese+cat/siamese+cat_10054.jpg,siamese+cat
polar+bear/polar+bear_10147.jpg,polar+bear
otter/otter_10653.jpg,otter
collie/collie_10391.jpg,collie
pig/pig_10549.jpg,pig
killer+whale/killer+whale_10107.jpg,killer+whale
mouse/mouse_10040.jpg,mouse
grizzly+bear/grizzly+bear_10357.jpg,grizzly+bear
wolf/wolf_10407.jpg,wolf
zebra/zebra_10886.jpg,zebra
rhinoceros/rhinoceros_10159.jpg,rhinoceros
squirrel/squirrel_10130.jpg,squirrel
rhinoceros/rhinoceros_10077.jpg,rhinoceros
tiger/tiger_10197.jpg,tiger
zebra/zebra_10391.jpg,zebra
antelope/antelope_10913.jpg,antelope
fox/fox_10259.jpg,fox
antelope/antelope_10118.jpg,antelope
lion/lion_10462.jpg,lion
german+shepherd/german+shepherd_10175.jpg,german+shepherd
buffalo/buffalo_10271.jpg,buffalo
persian+cat/persian+cat_10082.jpg,persian+cat
tiger/tiger_10569.jpg,tiger
humpback+whale/humpback+whale_10181.jpg,humpback+whale
rhinoceros/rhinoceros_10424.jpg,rhinoceros
grizzly+bear/grizzly+bear_10017.jpg,grizzly+bear
otter/otter_10750.jpg,otter
polar+bear/polar+bear_10827.jpg,polar+bear
squirrel/squirrel_10423.jpg,squirrel
chihuahua/chihuahua_10495.jpg,chihuahua
siamese+cat/siamese+cat_10471.jpg,siamese+cat
collie/collie_10995.jpg,collie
rhinoceros/rhinoceros_10101.jpg,rhinoceros
humpback+whale/humpback+whale_10438.jpg,humpback+whale
siamese+cat/siamese+cat_10234.jpg,siamese+cat
german+shepherd/german+shepherd_10784.jpg,german+shepherd
hippopotamus/hippopotamus_10488.jpg,hippopotamus
cow/cow_11308.jpg,cow
wolf/wolf_10418.jpg,wolf
otter/otter_10486.jpg,otter
hippopotamus/hippopotamus_10196.jpg,hippopotamus
zebra/zebra_10759.jpg,zebra
grizzly+bear/grizzly+bear_10799.jpg,grizzly+bear
collie/collie_10964.jpg,collie
lion/lion_10625.jpg,lion
zebra/zebra_11163.jpg,zebra
tiger/tiger_10063.jpg,tiger
cow/cow_10757.jpg,cow
collie/collie_10221.jpg,collie
wolf/wolf_10463.jpg,wolf
antelope/antelope_11003.jpg,antelope
zebra/zebra_10059.jpg,zebra
collie/collie_10457.jpg,collie
lion/lion_10164.jpg,lion
siamese+cat/siamese+cat_10221.jpg,siamese+cat
lion/lion_10180.jpg,lion
otter/otter_10547.jpg,otter
hippopotamus/hippopotamus_10070.jpg,hippopotamus
hippopotamus/hippopotamus_10052.jpg,hippopotamus
humpback+whale/humpback+whale_10337.jpg,humpback+whale
collie/collie_10544.jpg,collie
wolf/wolf_10457.jpg,wolf
collie/collie_10475.jpg,collie
otter/otter_10320.jpg,otter
elephant/elephant_10548.jpg,elephant
persian+cat/persian+cat_10019.jpg,persian+cat
polar+bear/polar+bear_10389.jpg,polar+bear
elephant/elephant_10185.jpg,elephant
lion/lion_10439.jpg,lion
mouse/mouse_10127.jpg,mouse
collie/collie_10803.jpg,collie
german+shepherd/german+shepherd_10037.jpg,german+shepherd
grizzly+bear/grizzly+bear_10085.jpg,grizzly+bear
squirrel/squirrel_10846.jpg,squirrel
zebra/zebra_10492.jpg,zebra
tiger/tiger_10363.jpg,tiger
elephant/elephant_10872.jpg,elephant
chihuahua/chihuahua_10507.jpg,chihuahua
polar+bear/polar+bear_10256.jpg,polar+bear
chihuahua/chihuahua_10419.jpg,chihuahua
pig/pig_10568.jpg,pig
polar+bear/polar+bear_10149.jpg,polar+bear
cow/cow_10850.jpg,cow
lion/lion_10935.jpg,lion
fox/fox_10435.jpg,fox
weasel/weasel_10158.jpg,weasel
chihuahua/chihuahua_10325.jpg,chihuahua
humpback+whale/humpback+whale_10354.jpg,humpback+whale
polar+bear/polar+bear_10630.jpg,polar+bear
tiger/tiger_10392.jpg,tiger
elephant/elephant_10833.jpg,elephant
tiger/tiger_10311.jpg,tiger
killer+whale/killer+whale_10190.jpg,killer+whale
zebra/zebra_10025.jpg,zebra
zebra/zebra_10495.jpg,zebra
fox/fox_10222.jpg,fox
squirrel/squirrel_10619.jpg,squirrel
polar+bear/polar+bear_10789.jpg,polar+bear
german+shepherd/german+shepherd_10426.jpg,german+shepherd
german+shepherd/german+shepherd_10026.jpg,german+shepherd
cow/cow_11192.jpg,cow
siamese+cat/siamese+cat_10462.jpg,siamese+cat
grizzly+bear/grizzly+bear_10219.jpg,grizzly+bear
wolf/wolf_10256.jpg,wolf
collie/collie_10400.jpg,collie
